,value,Iteration,Model,Dataset,DataType
8,99.443413729128,8,poissonmbo,iris,numeric
9,99.62894248608536,9,poissonmbo,iris,numeric
0,99.87631416202845,0,sparselabelpropagation,iris,numeric
1,99.81447124304268,1,sparselabelpropagation,iris,numeric
2,99.81447124304268,2,sparselabelpropagation,iris,numeric
3,99.75262832405691,3,sparselabelpropagation,iris,numeric
4,99.56709956709958,4,sparselabelpropagation,iris,numeric
5,99.81447124304268,5,sparselabelpropagation,iris,numeric
6,99.75262832405691,6,sparselabelpropagation,iris,numeric
7,99.75262832405691,7,sparselabelpropagation,iris,numeric
8,99.81447124304268,8,sparselabelpropagation,iris,numeric
9,99.443413729128,9,sparselabelpropagation,iris,numeric
0,99.75262832405691,0,centeredkernel,iris,numeric
1,99.62894248608536,1,centeredkernel,iris,numeric
2,99.69078540507113,2,centeredkernel,iris,numeric
3,99.75262832405691,3,centeredkernel,iris,numeric
4,99.69078540507113,4,centeredkernel,iris,numeric
5,99.69078540507113,5,centeredkernel,iris,numeric
6,99.81447124304268,6,centeredkernel,iris,numeric
7,99.93815708101424,7,centeredkernel,iris,numeric
8,99.75262832405691,8,centeredkernel,iris,numeric
9,99.69078540507113,9,centeredkernel,iris,numeric
0,55.1063829787234,0,laplace,german,numeric
1,60.0,1,laplace,german,numeric
2,58.29787234042554,2,laplace,german,numeric
3,56.38297872340426,3,laplace,german,numeric
4,58.72340425531914,4,laplace,german,numeric
5,63.40425531914894,5,laplace,german,numeric
6,59.14893617021277,6,laplace,german,numeric
7,57.872340425531924,7,laplace,german,numeric
8,60.42553191489362,8,laplace,german,numeric
9,58.72340425531914,9,laplace,german,numeric
0,59.14893617021277,0,randomwalk,german,numeric
1,56.80851063829788,1,randomwalk,german,numeric
2,62.97872340425533,2,randomwalk,german,numeric
3,60.21276595744681,3,randomwalk,german,numeric
4,60.0,4,randomwalk,german,numeric
5,58.72340425531914,5,randomwalk,german,numeric
6,61.06382978723404,6,randomwalk,german,numeric
7,57.872340425531924,7,randomwalk,german,numeric
8,58.93617021276596,8,randomwalk,german,numeric
9,59.78723404255321,9,randomwalk,german,numeric
0,58.29787234042554,0,wnll,german,numeric
1,58.29787234042554,1,wnll,german,numeric
2,57.872340425531924,2,wnll,german,numeric
3,62.127659574468076,3,wnll,german,numeric
4,59.78723404255321,4,wnll,german,numeric
5,57.872340425531924,5,wnll,german,numeric
6,57.02127659574467,6,wnll,german,numeric
7,57.02127659574467,7,wnll,german,numeric
8,59.57446808510638,8,wnll,german,numeric
9,60.0,9,wnll,german,numeric
0,61.06382978723404,0,mean_shifted_laplace,german,numeric
1,58.29787234042554,1,mean_shifted_laplace,german,numeric
2,57.6595744680851,2,mean_shifted_laplace,german,numeric
3,57.44680851063829,3,mean_shifted_laplace,german,numeric
4,62.55319148936171,4,mean_shifted_laplace,german,numeric
5,62.127659574468076,5,mean_shifted_laplace,german,numeric
6,55.319148936170215,6,mean_shifted_laplace,german,numeric
7,57.44680851063829,7,mean_shifted_laplace,german,numeric
8,59.78723404255321,8,mean_shifted_laplace,german,numeric
9,61.06382978723404,9,mean_shifted_laplace,german,numeric
0,61.914893617021285,0,poissonmbo_old,german,numeric
1,60.638297872340424,1,poissonmbo_old,german,numeric
2,60.638297872340424,2,poissonmbo_old,german,numeric
3,58.085106382978715,3,poissonmbo_old,german,numeric
4,60.638297872340424,4,poissonmbo_old,german,numeric
5,58.085106382978715,5,poissonmbo_old,german,numeric
6,58.93617021276596,6,poissonmbo_old,german,numeric
7,60.21276595744681,7,poissonmbo_old,german,numeric
8,61.70212765957447,8,poissonmbo_old,german,numeric
9,59.78723404255321,9,poissonmbo_old,german,numeric
0,56.80851063829788,0,poissonmbobalanced,german,numeric
1,56.170212765957444,1,poissonmbobalanced,german,numeric
2,58.93617021276596,2,poissonmbobalanced,german,numeric
3,61.06382978723404,3,poissonmbobalanced,german,numeric
4,59.78723404255321,4,poissonmbobalanced,german,numeric
5,55.319148936170215,5,poissonmbobalanced,german,numeric
6,59.78723404255321,6,poissonmbobalanced,german,numeric
7,56.59574468085106,7,poissonmbobalanced,german,numeric
8,58.72340425531914,8,poissonmbobalanced,german,numeric
9,64.04255319148936,9,poissonmbobalanced,german,numeric
0,62.76595744680851,0,poisson2,german,numeric
1,61.914893617021285,1,poisson2,german,numeric
2,64.46808510638297,2,poisson2,german,numeric
3,58.72340425531914,3,poisson2,german,numeric
4,52.55319148936171,4,poisson2,german,numeric
5,66.17021276595744,5,poisson2,german,numeric
6,60.0,6,poisson2,german,numeric
7,61.70212765957447,7,poisson2,german,numeric
8,46.80851063829788,8,poisson2,german,numeric
9,60.0,9,poisson2,german,numeric
0,61.06382978723404,0,poisson,german,numeric
1,61.914893617021285,1,poisson,german,numeric
2,61.914893617021285,2,poisson,german,numeric
3,59.57446808510638,3,poisson,german,numeric
4,60.21276595744681,4,poisson,german,numeric
5,62.3404255319149,5,poisson,german,numeric
6,58.93617021276596,6,poisson,german,numeric
7,60.21276595744681,7,poisson,german,numeric
8,55.1063829787234,8,poisson,german,numeric
9,62.55319148936171,9,poisson,german,numeric
0,62.127659574468076,0,poissonbalanced,german,numeric
1,61.914893617021285,1,poissonbalanced,german,numeric
2,62.55319148936171,2,poissonbalanced,german,numeric
3,60.21276595744681,3,poissonbalanced,german,numeric
4,57.6595744680851,4,poissonbalanced,german,numeric
5,62.76595744680851,5,poissonbalanced,german,numeric
6,62.127659574468076,6,poissonbalanced,german,numeric
7,61.70212765957447,7,poissonbalanced,german,numeric
8,61.48936170212766,8,poissonbalanced,german,numeric
9,61.48936170212766,9,poissonbalanced,german,numeric
0,57.44680851063829,0,poissonvolume,german,numeric
1,61.914893617021285,1,poissonvolume,german,numeric
2,62.97872340425533,2,poissonvolume,german,numeric
3,61.06382978723404,3,poissonvolume,german,numeric
4,59.361702127659576,4,poissonvolume,german,numeric
5,57.872340425531924,5,poissonvolume,german,numeric
6,62.55319148936171,6,poissonvolume,german,numeric
7,60.42553191489362,7,poissonvolume,german,numeric
8,60.638297872340424,8,poissonvolume,german,numeric
9,61.06382978723404,9,poissonvolume,german,numeric
0,55.319148936170215,0,poissonmbo,german,numeric
1,60.21276595744681,1,poissonmbo,german,numeric
2,60.638297872340424,2,poissonmbo,german,numeric
3,59.78723404255321,3,poissonmbo,german,numeric
4,57.6595744680851,4,poissonmbo,german,numeric
5,59.78723404255321,5,poissonmbo,german,numeric
6,58.29787234042554,6,poissonmbo,german,numeric
7,62.76595744680851,7,poissonmbo,german,numeric
8,59.57446808510638,8,poissonmbo,german,numeric
9,63.40425531914894,9,poissonmbo,german,numeric
0,62.76595744680851,0,sparselabelpropagation,german,numeric
1,55.95744680851064,1,sparselabelpropagation,german,numeric
2,61.914893617021285,2,sparselabelpropagation,german,numeric
3,57.44680851063829,3,sparselabelpropagation,german,numeric
4,62.3404255319149,4,sparselabelpropagation,german,numeric
